Date,Item Name,Category,Price (₹),Quantity Sold,Total Sales (₹)
03-02-2024,Marble Cake,Cake,90,42,3780
03-02-2024,Pineapple Juice,Beverage,35,21,735
04-02-2024,Parippu Vada,Snack,10,43,430
04-02-2024,Egg Puffs,Snack,20,27,540
04-02-2024,Butter Bun,Bread,15,16,240
04-02-2024,Plum Cake,Cake,150,41,6150
04-02-2024,Pazhampori (Banana Fry),Snack,12,16,192
04-02-2024,Uzhunnu Vada,Snack,12,39,468
04-02-2024,Ullivada,Snack,10,14,140
04-02-2024,Banana Chips,Snack,100,40,4000
04-02-2024,Tea Biscuit,Biscuit,30,19,570
04-02-2024,Chicken Puffs,Snack,25,25,625
04-02-2024,Ela Ada,Sweet,20,35,700
04-02-2024,Cream Bun,Bread,20,24,480
04-02-2024,Nannari Sharbat,Beverage,25,23,575
04-02-2024,Sugiyan,Sweet,15,32,480
04-02-2024,Neyyappam,Sweet,20,16,320
04-02-2024,Black Forest Cake,Cake,500,40,20000
04-02-2024,Mixture,Snack,120,8,960
04-02-2024,Jilebi,Sweet,50,11,550
04-02-2024,Butter Biscuit,Biscuit,25,42,1050
04-02-2024,Vettu Cake,Cake,15,15,225
04-02-2024,Milk Bun,Bread,18,31,558
04-02-2024,Choco Lava Cake,Cake,80,43,3440
04-02-2024,Fruit Cake,Cake,350,45,15750
04-02-2024,Lemon Juice,Beverage,30,34,1020
04-02-2024,Badam Milk,Beverage,40,45,1800
04-02-2024,Ghee Cake,Cake,120,29,3480
04-02-2024,Mysore Pak,Sweet,180,31,5580
04-02-2024,Milk Bikis,Biscuit,25,48,1200
04-02-2024,Marble Cake,Cake,90,12,1080
04-02-2024,Pineapple Juice,Beverage,35,18,630
05-02-2024,Parippu Vada,Snack,10,49,490
05-02-2024,Egg Puffs,Snack,20,44,880
05-02-2024,Butter Bun,Bread,15,28,420
05-02-2024,Plum Cake,Cake,150,38,5700
05-02-2024,Pazhampori (Banana Fry),Snack,12,38,456
05-02-2024,Uzhunnu Vada,Snack,12,34,408
05-02-2024,Ullivada,Snack,10,19,190
05-02-2024,Banana Chips,Snack,100,26,2600
05-02-2024,Tea Biscuit,Biscuit,30,5,150
05-02-2024,Chicken Puffs,Snack,25,20,500
05-02-2024,Ela Ada,Sweet,20,12,240
05-02-2024,Cream Bun,Bread,20,48,960
05-02-2024,Nannari Sharbat,Beverage,25,48,1200
05-02-2024,Sugiyan,Sweet,15,15,225
05-02-2024,Neyyappam,Sweet,20,18,360
05-02-2024,Black Forest Cake,Cake,500,40,20000
05-02-2024,Mixture,Snack,120,21,2520
05-02-2024,Jilebi,Sweet,50,15,750
05-02-2024,Butter Biscuit,Biscuit,25,40,1000
05-02-2024,Vettu Cake,Cake,15,46,690
05-02-2024,Milk Bun,Bread,18,20,360
05-02-2024,Choco Lava Cake,Cake,80,20,1600
05-02-2024,Fruit Cake,Cake,350,32,11200
05-02-2024,Lemon Juice,Beverage,30,8,240
05-02-2024,Badam Milk,Beverage,40,16,640
05-02-2024,Ghee Cake,Cake,120,42,5040
05-02-2024,Mysore Pak,Sweet,180,43,7740
05-02-2024,Milk Bikis,Biscuit,25,9,225
05-02-2024,Marble Cake,Cake,90,41,3690
05-02-2024,Pineapple Juice,Beverage,35,16,560
06-02-2024,Parippu Vada,Snack,10,33,330
06-02-2024,Egg Puffs,Snack,20,7,140
06-02-2024,Butter Bun,Bread,15,6,90
06-02-2024,Plum Cake,Cake,150,37,5550
06-02-2024,Pazhampori (Banana Fry),Snack,12,46,552
06-02-2024,Uzhunnu Vada,Snack,12,28,336
06-02-2024,Ullivada,Snack,10,23,230
06-02-2024,Banana Chips,Snack,100,5,500
06-02-2024,Tea Biscuit,Biscuit,30,5,150
06-02-2024,Chicken Puffs,Snack,25,27,675
06-02-2024,Ela Ada,Sweet,20,18,360
06-02-2024,Cream Bun,Bread,20,17,340
06-02-2024,Nannari Sharbat,Beverage,25,15,375
06-02-2024,Sugiyan,Sweet,15,6,90
06-02-2024,Neyyappam,Sweet,20,23,460
06-02-2024,Black Forest Cake,Cake,500,9,4500
06-02-2024,Mixture,Snack,120,21,2520
06-02-2024,Jilebi,Sweet,50,26,1300
06-02-2024,Butter Biscuit,Biscuit,25,8,200
06-02-2024,Vettu Cake,Cake,15,36,540
06-02-2024,Milk Bun,Bread,18,27,486
06-02-2024,Choco Lava Cake,Cake,80,21,1680
06-02-2024,Fruit Cake,Cake,350,22,7700
06-02-2024,Lemon Juice,Beverage,30,16,480
06-02-2024,Badam Milk,Beverage,40,25,1000
06-02-2024,Ghee Cake,Cake,120,23,2760
06-02-2024,Mysore Pak,Sweet,180,8,1440
06-02-2024,Milk Bikis,Biscuit,25,40,1000
06-02-2024,Marble Cake,Cake,90,32,2880
06-02-2024,Pineapple Juice,Beverage,35,47,1645
07-02-2024,Parippu Vada,Snack,10,20,200
07-02-2024,Egg Puffs,Snack,20,45,900
07-02-2024,Butter Bun,Bread,15,33,495
07-02-2024,Plum Cake,Cake,150,11,1650
07-02-2024,Pazhampori (Banana Fry),Snack,12,22,264
07-02-2024,Uzhunnu Vada,Snack,12,38,456
07-02-2024,Ullivada,Snack,10,24,240
07-02-2024,Banana Chips,Snack,100,8,800
07-02-2024,Tea Biscuit,Biscuit,30,23,690
07-02-2024,Chicken Puffs,Snack,25,15,375
07-02-2024,Ela Ada,Sweet,20,31,620
07-02-2024,Cream Bun,Bread,20,13,260
07-02-2024,Nannari Sharbat,Beverage,25,30,750
07-02-2024,Sugiyan,Sweet,15,18,270
07-02-2024,Neyyappam,Sweet,20,41,820
07-02-2024,Black Forest Cake,Cake,500,41,20500
07-02-2024,Mixture,Snack,120,21,2520
07-02-2024,Jilebi,Sweet,50,28,1400
07-02-2024,Butter Biscuit,Biscuit,25,10,250
07-02-2024,Vettu Cake,Cake,15,26,390
07-02-2024,Milk Bun,Bread,18,7,126
07-02-2024,Choco Lava Cake,Cake,80,23,1840
07-02-2024,Fruit Cake,Cake,350,11,3850
07-02-2024,Lemon Juice,Beverage,30,47,1410
07-02-2024,Badam Milk,Beverage,40,33,1320
07-02-2024,Ghee Cake,Cake,120,9,1080
07-02-2024,Mysore Pak,Sweet,180,13,2340
07-02-2024,Milk Bikis,Biscuit,25,18,450
07-02-2024,Marble Cake,Cake,90,15,1350
07-02-2024,Pineapple Juice,Beverage,35,50,1750
08-02-2024,Parippu Vada,Snack,10,8,80
08-02-2024,Egg Puffs,Snack,20,12,240
08-02-2024,Butter Bun,Bread,15,16,240
08-02-2024,Plum Cake,Cake,150,48,7200
08-02-2024,Pazhampori (Banana Fry),Snack,12,39,468
08-02-2024,Uzhunnu Vada,Snack,12,46,552
08-02-2024,Ullivada,Snack,10,43,430
08-02-2024,Banana Chips,Snack,100,9,900
08-02-2024,Tea Biscuit,Biscuit,30,43,1290
08-02-2024,Chicken Puffs,Snack,25,44,1100
08-02-2024,Ela Ada,Sweet,20,29,580
08-02-2024,Cream Bun,Bread,20,50,1000
08-02-2024,Nannari Sharbat,Beverage,25,50,1250
08-02-2024,Sugiyan,Sweet,15,32,480
08-02-2024,Neyyappam,Sweet,20,42,840
08-02-2024,Black Forest Cake,Cake,500,29,14500
08-02-2024,Mixture,Snack,120,8,960
08-02-2024,Jilebi,Sweet,50,12,600
08-02-2024,Butter Biscuit,Biscuit,25,33,825
08-02-2024,Vettu Cake,Cake,15,44,660
08-02-2024,Milk Bun,Bread,18,14,252
08-02-2024,Choco Lava Cake,Cake,80,37,2960
08-02-2024,Fruit Cake,Cake,350,43,15050
08-02-2024,Lemon Juice,Beverage,30,32,960
08-02-2024,Badam Milk,Beverage,40,34,1360
08-02-2024,Ghee Cake,Cake,120,5,600
08-02-2024,Mysore Pak,Sweet,180,15,2700
08-02-2024,Milk Bikis,Biscuit,25,5,125
08-02-2024,Marble Cake,Cake,90,14,1260
08-02-2024,Pineapple Juice,Beverage,35,28,980
09-02-2024,Parippu Vada,Snack,10,22,220
09-02-2024,Egg Puffs,Snack,20,27,540
09-02-2024,Butter Bun,Bread,15,42,630
09-02-2024,Plum Cake,Cake,150,16,2400
09-02-2024,Pazhampori (Banana Fry),Snack,12,26,312
09-02-2024,Uzhunnu Vada,Snack,12,10,120
09-02-2024,Ullivada,Snack,10,29,290
09-02-2024,Banana Chips,Snack,100,25,2500
09-02-2024,Tea Biscuit,Biscuit,30,47,1410
09-02-2024,Chicken Puffs,Snack,25,50,1250
09-02-2024,Ela Ada,Sweet,20,37,740
09-02-2024,Cream Bun,Bread,20,22,440
09-02-2024,Nannari Sharbat,Beverage,25,40,1000
09-02-2024,Sugiyan,Sweet,15,19,285
09-02-2024,Neyyappam,Sweet,20,6,120
09-02-2024,Black Forest Cake,Cake,500,6,3000
09-02-2024,Mixture,Snack,120,38,4560
09-02-2024,Jilebi,Sweet,50,19,950
09-02-2024,Butter Biscuit,Biscuit,25,16,400
09-02-2024,Vettu Cake,Cake,15,29,435
09-02-2024,Milk Bun,Bread,18,46,828
09-02-2024,Choco Lava Cake,Cake,80,14,1120
09-02-2024,Fruit Cake,Cake,350,41,14350
09-02-2024,Lemon Juice,Beverage,30,41,1230
09-02-2024,Badam Milk,Beverage,40,41,1640
09-02-2024,Ghee Cake,Cake,120,25,3000
09-02-2024,Mysore Pak,Sweet,180,11,1980
09-02-2024,Milk Bikis,Biscuit,25,40,1000
09-02-2024,Marble Cake,Cake,90,27,2430
09-02-2024,Pineapple Juice,Beverage,35,50,1750
10-02-2024,Parippu Vada,Snack,10,43,430
10-02-2024,Egg Puffs,Snack,20,13,260
10-02-2024,Butter Bun,Bread,15,39,585
10-02-2024,Plum Cake,Cake,150,8,1200
10-02-2024,Pazhampori (Banana Fry),Snack,12,32,384
10-02-2024,Uzhunnu Vada,Snack,12,6,72
10-02-2024,Ullivada,Snack,10,47,470
10-02-2024,Banana Chips,Snack,100,25,2500
10-02-2024,Tea Biscuit,Biscuit,30,33,990
10-02-2024,Chicken Puffs,Snack,25,15,375
10-02-2024,Ela Ada,Sweet,20,14,280
10-02-2024,Cream Bun,Bread,20,28,560
10-02-2024,Nannari Sharbat,Beverage,25,39,975
10-02-2024,Sugiyan,Sweet,15,47,705
10-02-2024,Neyyappam,Sweet,20,11,220
10-02-2024,Black Forest Cake,Cake,500,16,8000
10-02-2024,Mixture,Snack,120,18,2160
10-02-2024,Jilebi,Sweet,50,19,950
10-02-2024,Butter Biscuit,Biscuit,25,33,825
10-02-2024,Vettu Cake,Cake,15,23,345
10-02-2024,Milk Bun,Bread,18,36,648
10-02-2024,Choco Lava Cake,Cake,80,11,880
10-02-2024,Fruit Cake,Cake,350,33,11550
10-02-2024,Lemon Juice,Beverage,30,17,510
10-02-2024,Badam Milk,Beverage,40,27,1080
10-02-2024,Ghee Cake,Cake,120,36,4320
10-02-2024,Mysore Pak,Sweet,180,9,1620
10-02-2024,Milk Bikis,Biscuit,25,17,425
10-02-2024,Marble Cake,Cake,90,31,2790
10-02-2024,Pineapple Juice,Beverage,35,34,1190
11-02-2024,Parippu Vada,Snack,10,44,440
11-02-2024,Egg Puffs,Snack,20,42,840
11-02-2024,Butter Bun,Bread,15,13,195
11-02-2024,Plum Cake,Cake,150,17,2550
11-02-2024,Pazhampori (Banana Fry),Snack,12,8,96
11-02-2024,Uzhunnu Vada,Snack,12,33,396
11-02-2024,Ullivada,Snack,10,35,350
11-02-2024,Banana Chips,Snack,100,31,3100
11-02-2024,Tea Biscuit,Biscuit,30,18,540
11-02-2024,Chicken Puffs,Snack,25,24,600
11-02-2024,Ela Ada,Sweet,20,11,220
11-02-2024,Cream Bun,Bread,20,15,300
11-02-2024,Nannari Sharbat,Beverage,25,37,925
11-02-2024,Sugiyan,Sweet,15,5,75
11-02-2024,Neyyappam,Sweet,20,47,940
11-02-2024,Black Forest Cake,Cake,500,18,9000
11-02-2024,Mixture,Snack,120,6,720
11-02-2024,Jilebi,Sweet,50,26,1300
11-02-2024,Butter Biscuit,Biscuit,25,45,1125
11-02-2024,Vettu Cake,Cake,15,10,150
11-02-2024,Milk Bun,Bread,18,19,342
11-02-2024,Choco Lava Cake,Cake,80,31,2480
11-02-2024,Fruit Cake,Cake,350,42,14700
11-02-2024,Lemon Juice,Beverage,30,14,420
11-02-2024,Badam Milk,Beverage,40,5,200
11-02-2024,Ghee Cake,Cake,120,14,1680
11-02-2024,Mysore Pak,Sweet,180,14,2520
11-02-2024,Milk Bikis,Biscuit,25,23,575
11-02-2024,Marble Cake,Cake,90,37,3330
11-02-2024,Pineapple Juice,Beverage,35,20,700
12-02-2024,Parippu Vada,Snack,10,33,330
12-02-2024,Egg Puffs,Snack,20,14,280
12-02-2024,Butter Bun,Bread,15,19,285
12-02-2024,Plum Cake,Cake,150,35,5250
12-02-2024,Pazhampori (Banana Fry),Snack,12,33,396
12-02-2024,Uzhunnu Vada,Snack,12,33,396
12-02-2024,Ullivada,Snack,10,18,180
12-02-2024,Banana Chips,Snack,100,7,700
12-02-2024,Tea Biscuit,Biscuit,30,10,300
12-02-2024,Chicken Puffs,Snack,25,23,575
12-02-2024,Ela Ada,Sweet,20,48,960
12-02-2024,Cream Bun,Bread,20,31,620
12-02-2024,Nannari Sharbat,Beverage,25,5,125
12-02-2024,Sugiyan,Sweet,15,36,540
12-02-2024,Neyyappam,Sweet,20,35,700
12-02-2024,Black Forest Cake,Cake,500,26,13000
12-02-2024,Mixture,Snack,120,49,5880
12-02-2024,Jilebi,Sweet,50,45,2250
12-02-2024,Butter Biscuit,Biscuit,25,36,900
12-02-2024,Vettu Cake,Cake,15,26,390
12-02-2024,Milk Bun,Bread,18,15,270
12-02-2024,Choco Lava Cake,Cake,80,42,3360
12-02-2024,Fruit Cake,Cake,350,10,3500
12-02-2024,Lemon Juice,Beverage,30,33,990
12-02-2024,Badam Milk,Beverage,40,39,1560
12-02-2024,Ghee Cake,Cake,120,23,2760
12-02-2024,Mysore Pak,Sweet,180,27,4860
12-02-2024,Milk Bikis,Biscuit,25,23,575
12-02-2024,Marble Cake,Cake,90,43,3870
12-02-2024,Pineapple Juice,Beverage,35,33,1155
13-02-2024,Parippu Vada,Snack,10,21,210
13-02-2024,Egg Puffs,Snack,20,19,380
13-02-2024,Butter Bun,Bread,15,41,615
13-02-2024,Plum Cake,Cake,150,34,5100
13-02-2024,Pazhampori (Banana Fry),Snack,12,50,600
13-02-2024,Uzhunnu Vada,Snack,12,24,288
13-02-2024,Ullivada,Snack,10,23,230
13-02-2024,Banana Chips,Snack,100,11,1100
13-02-2024,Tea Biscuit,Biscuit,30,17,510
13-02-2024,Chicken Puffs,Snack,25,24,600
13-02-2024,Ela Ada,Sweet,20,35,700
13-02-2024,Cream Bun,Bread,20,8,160
13-02-2024,Nannari Sharbat,Beverage,25,35,875
13-02-2024,Sugiyan,Sweet,15,16,240
13-02-2024,Neyyappam,Sweet,20,44,880
13-02-2024,Black Forest Cake,Cake,500,13,6500
13-02-2024,Mixture,Snack,120,11,1320
13-02-2024,Jilebi,Sweet,50,20,1000
13-02-2024,Butter Biscuit,Biscuit,25,6,150
13-02-2024,Vettu Cake,Cake,15,46,690
13-02-2024,Milk Bun,Bread,18,41,738
13-02-2024,Choco Lava Cake,Cake,80,45,3600
13-02-2024,Fruit Cake,Cake,350,20,7000
13-02-2024,Lemon Juice,Beverage,30,45,1350
13-02-2024,Badam Milk,Beverage,40,35,1400
13-02-2024,Ghee Cake,Cake,120,13,1560
13-02-2024,Mysore Pak,Sweet,180,39,7020
13-02-2024,Milk Bikis,Biscuit,25,7,175
13-02-2024,Marble Cake,Cake,90,39,3510
13-02-2024,Pineapple Juice,Beverage,35,6,210
14-02-2024,Parippu Vada,Snack,10,15,150
14-02-2024,Egg Puffs,Snack,20,32,640
14-02-2024,Butter Bun,Bread,15,23,345
14-02-2024,Plum Cake,Cake,150,37,5550
14-02-2024,Pazhampori (Banana Fry),Snack,12,15,180
14-02-2024,Uzhunnu Vada,Snack,12,30,360
14-02-2024,Ullivada,Snack,10,36,360
14-02-2024,Banana Chips,Snack,100,16,1600
14-02-2024,Tea Biscuit,Biscuit,30,11,330
14-02-2024,Chicken Puffs,Snack,25,19,475
14-02-2024,Ela Ada,Sweet,20,32,640
14-02-2024,Cream Bun,Bread,20,26,520
14-02-2024,Nannari Sharbat,Beverage,25,44,1100
14-02-2024,Sugiyan,Sweet,15,44,660
14-02-2024,Neyyappam,Sweet,20,21,420
14-02-2024,Black Forest Cake,Cake,500,34,17000
14-02-2024,Mixture,Snack,120,24,2880
14-02-2024,Jilebi,Sweet,50,20,1000
14-02-2024,Butter Biscuit,Biscuit,25,16,400
14-02-2024,Vettu Cake,Cake,15,35,525
14-02-2024,Milk Bun,Bread,18,46,828
14-02-2024,Choco Lava Cake,Cake,80,37,2960
14-02-2024,Fruit Cake,Cake,350,33,11550
14-02-2024,Lemon Juice,Beverage,30,10,300
14-02-2024,Badam Milk,Beverage,40,45,1800
14-02-2024,Ghee Cake,Cake,120,19,2280
14-02-2024,Mysore Pak,Sweet,180,43,7740
14-02-2024,Milk Bikis,Biscuit,25,33,825
14-02-2024,Marble Cake,Cake,90,41,3690
14-02-2024,Pineapple Juice,Beverage,35,20,700
15-02-2024,Parippu Vada,Snack,10,9,90
15-02-2024,Egg Puffs,Snack,20,36,720
15-02-2024,Butter Bun,Bread,15,36,540
15-02-2024,Plum Cake,Cake,150,19,2850
15-02-2024,Pazhampori (Banana Fry),Snack,12,34,408
15-02-2024,Uzhunnu Vada,Snack,12,45,540
15-02-2024,Ullivada,Snack,10,12,120
15-02-2024,Banana Chips,Snack,100,5,500
15-02-2024,Tea Biscuit,Biscuit,30,27,810
15-02-2024,Chicken Puffs,Snack,25,10,250
15-02-2024,Ela Ada,Sweet,20,9,180
15-02-2024,Cream Bun,Bread,20,9,180
15-02-2024,Nannari Sharbat,Beverage,25,20,500
15-02-2024,Sugiyan,Sweet,15,33,495
15-02-2024,Neyyappam,Sweet,20,37,740
15-02-2024,Black Forest Cake,Cake,500,7,3500
15-02-2024,Mixture,Snack,120,24,2880
15-02-2024,Jilebi,Sweet,50,17,850
15-02-2024,Butter Biscuit,Biscuit,25,47,1175
15-02-2024,Vettu Cake,Cake,15,27,405
15-02-2024,Milk Bun,Bread,18,26,468
15-02-2024,Choco Lava Cake,Cake,80,21,1680
15-02-2024,Fruit Cake,Cake,350,39,13650
15-02-2024,Lemon Juice,Beverage,30,24,720
15-02-2024,Badam Milk,Beverage,40,18,720
15-02-2024,Ghee Cake,Cake,120,49,5880
15-02-2024,Mysore Pak,Sweet,180,15,2700
15-02-2024,Milk Bikis,Biscuit,25,31,775
15-02-2024,Marble Cake,Cake,90,15,1350
15-02-2024,Pineapple Juice,Beverage,35,45,1575
16-02-2024,Parippu Vada,Snack,10,11,110
16-02-2024,Egg Puffs,Snack,20,34,680
16-02-2024,Butter Bun,Bread,15,40,600
16-02-2024,Plum Cake,Cake,150,32,4800
16-02-2024,Pazhampori (Banana Fry),Snack,12,9,108
16-02-2024,Uzhunnu Vada,Snack,12,27,324
16-02-2024,Ullivada,Snack,10,5,50
16-02-2024,Banana Chips,Snack,100,33,3300
16-02-2024,Tea Biscuit,Biscuit,30,19,570
16-02-2024,Chicken Puffs,Snack,25,47,1175
16-02-2024,Ela Ada,Sweet,20,20,400
16-02-2024,Cream Bun,Bread,20,33,660
16-02-2024,Nannari Sharbat,Beverage,25,7,175
16-02-2024,Sugiyan,Sweet,15,32,480
16-02-2024,Neyyappam,Sweet,20,8,160
16-02-2024,Black Forest Cake,Cake,500,21,10500
16-02-2024,Mixture,Snack,120,30,3600
16-02-2024,Jilebi,Sweet,50,33,1650
16-02-2024,Butter Biscuit,Biscuit,25,5,125
16-02-2024,Vettu Cake,Cake,15,29,435
16-02-2024,Milk Bun,Bread,18,30,540
16-02-2024,Choco Lava Cake,Cake,80,18,1440
16-02-2024,Fruit Cake,Cake,350,17,5950
16-02-2024,Lemon Juice,Beverage,30,50,1500
16-02-2024,Badam Milk,Beverage,40,17,680
16-02-2024,Ghee Cake,Cake,120,25,3000
16-02-2024,Mysore Pak,Sweet,180,38,6840
16-02-2024,Milk Bikis,Biscuit,25,19,475
16-02-2024,Marble Cake,Cake,90,41,3690
16-02-2024,Pineapple Juice,Beverage,35,6,210
17-02-2024,Parippu Vada,Snack,10,19,190
17-02-2024,Egg Puffs,Snack,20,37,740
17-02-2024,Butter Bun,Bread,15,28,420
17-02-2024,Plum Cake,Cake,150,26,3900
17-02-2024,Pazhampori (Banana Fry),Snack,12,12,144
17-02-2024,Uzhunnu Vada,Snack,12,29,348
17-02-2024,Ullivada,Snack,10,43,430
17-02-2024,Banana Chips,Snack,100,21,2100
17-02-2024,Tea Biscuit,Biscuit,30,23,690
17-02-2024,Chicken Puffs,Snack,25,28,700
17-02-2024,Ela Ada,Sweet,20,17,340
17-02-2024,Cream Bun,Bread,20,24,480
17-02-2024,Nannari Sharbat,Beverage,25,45,1125
17-02-2024,Sugiyan,Sweet,15,9,135
17-02-2024,Neyyappam,Sweet,20,41,820
17-02-2024,Black Forest Cake,Cake,500,43,21500
17-02-2024,Mixture,Snack,120,28,3360
17-02-2024,Jilebi,Sweet,50,28,1400
17-02-2024,Butter Biscuit,Biscuit,25,20,500
17-02-2024,Vettu Cake,Cake,15,13,195
17-02-2024,Milk Bun,Bread,18,18,324
17-02-2024,Choco Lava Cake,Cake,80,39,3120
17-02-2024,Fruit Cake,Cake,350,46,16100
17-02-2024,Lemon Juice,Beverage,30,36,1080
17-02-2024,Badam Milk,Beverage,40,29,1160
17-02-2024,Ghee Cake,Cake,120,22,2640
17-02-2024,Mysore Pak,Sweet,180,33,5940
17-02-2024,Milk Bikis,Biscuit,25,9,225
17-02-2024,Marble Cake,Cake,90,31,2790
17-02-2024,Pineapple Juice,Beverage,35,50,1750
18-02-2024,Parippu Vada,Snack,10,39,390
18-02-2024,Egg Puffs,Snack,20,37,740
18-02-2024,Butter Bun,Bread,15,27,405
18-02-2024,Plum Cake,Cake,150,22,3300
18-02-2024,Pazhampori (Banana Fry),Snack,12,17,204
18-02-2024,Uzhunnu Vada,Snack,12,50,600
18-02-2024,Ullivada,Snack,10,49,490
18-02-2024,Banana Chips,Snack,100,22,2200
18-02-2024,Tea Biscuit,Biscuit,30,48,1440
18-02-2024,Chicken Puffs,Snack,25,38,950
18-02-2024,Ela Ada,Sweet,20,32,640
18-02-2024,Cream Bun,Bread,20,21,420
18-02-2024,Nannari Sharbat,Beverage,25,7,175
18-02-2024,Sugiyan,Sweet,15,46,690
18-02-2024,Neyyappam,Sweet,20,49,980
18-02-2024,Black Forest Cake,Cake,500,7,3500
18-02-2024,Mixture,Snack,120,29,3480
18-02-2024,Jilebi,Sweet,50,8,400
18-02-2024,Butter Biscuit,Biscuit,25,17,425
18-02-2024,Vettu Cake,Cake,15,7,105
18-02-2024,Milk Bun,Bread,18,28,504
18-02-2024,Choco Lava Cake,Cake,80,27,2160
18-02-2024,Fruit Cake,Cake,350,46,16100
18-02-2024,Lemon Juice,Beverage,30,7,210
18-02-2024,Badam Milk,Beverage,40,40,1600
18-02-2024,Ghee Cake,Cake,120,12,1440
18-02-2024,Mysore Pak,Sweet,180,12,2160
